config-benchmark,Config_ID,Bench_ID,Int Power,Switch Power,Leak Power,Total Power,Dynamic Power,McPAT.Leakage,McPAT.Dynamic,McPAT.Total,McPTA.Error,McPAT.MAPE
GigaBoomSEConfig-fac.riscv,2,24,28.8,2.93,6.06,37.79,31.73,3.69551,20.576,24.27151,-35.77%,35.77%
GigaBoomSEConfig-fft.riscv,2,25,30.9,4.37,6.17,41.44,35.27,3.69551,27.8104,31.50591,-23.97%,23.97%
GigaBoomSEConfig-fibonacci.riscv,2,26,34.6,6.58,6.13,47.31,41.18,3.69551,43.0508,46.74631,-1.19%,1.19%
GigaBoomSEConfig-fir2dim.riscv,2,27,29.7,3.68,6.09,39.47,33.38,3.69551,37.7315,41.42701,4.96%,4.96%
GigaBoomSEConfig-fmref.riscv,2,28,36.1,7.77,6.3,50.17,43.87,3.69551,31.0877,34.78321,-30.67%,30.67%
GigaBoomSEConfig-frac.riscv,2,29,31.2,4.69,6.14,42.03,35.89,3.69551,35.4397,39.13521,-6.89%,6.89%
GigaBoomSEConfig-h264_dec.riscv,2,30,34.4,7.42,6.14,47.96,41.82,3.69551,43.0836,46.77911,-2.46%,2.46%
GigaBoomSEConfig-hello_world.riscv,2,31,36.1,7.5,6.2,49.8,43.6,3.69551,41.8903,45.58581,-8.46%,8.46%
GigaBoomSEConfig-hello_world_large.riscv,2,32,36.6,7.78,6.2,50.58,44.38,3.69551,43.3272,47.02271,-7.03%,7.03%
GigaBoomSEConfig-huff_dec.riscv,2,33,37.3,9.03,6.18,52.51,46.33,3.69551,49.2828,52.97831,0.89%,0.89%
GigaBoomSEConfig-iir.riscv,2,34,29,3.1,6.07,38.17,32.1,3.69551,30.1669,33.86241,-11.29%,11.29%
GigaBoomSEConfig-insertsort.riscv,2,35,28.9,3.08,6.07,38.05,31.98,3.69551,30.5442,34.23971,-10.01%,10.01%
GigaBoomSEConfig-jfdctint.riscv,2,36,29.2,3.27,6.08,38.55,32.47,3.69551,25.499,29.19451,-24.27%,24.27%
GigaBoomSEConfig-levenshtein.riscv,2,37,38.2,9.22,6.17,53.59,47.42,3.69551,51.7036,55.39911,3.38%,3.38%
GigaBoomSEConfig-lift.riscv,2,38,42.6,12.3,6.18,61.08,54.9,3.69551,30.1441,33.83961,-44.60%,44.60%
GigaBoomSEConfig-lms.riscv,2,39,35.8,7.77,6.25,49.82,43.57,3.69551,43.6754,47.37091,-4.92%,4.92%
GigaBoomSEConfig-ludcmp.riscv,2,40,28.1,2.98,6.07,37.15,31.08,3.69551,27.8425,31.53801,-15.11%,15.11%
GigaBoomSEConfig-matrix_mult.riscv,2,41,35.4,7.57,6.2,49.17,42.97,3.69551,45.9406,49.63611,0.95%,0.95%
GigaBoomSEConfig-median.riscv,2,42,32.6,6.09,6.14,44.83,38.69,3.69551,30.4722,34.16771,-23.78%,23.78%
GigaBoomSEConfig-mergesort.riscv,2,43,41.4,12.1,6.23,59.73,53.5,3.69551,61.22,64.91551,8.68%,8.68%
GigaBoomSEConfig-minver.riscv,2,44,29.1,3.27,6.08,38.45,32.37,3.69551,29.3868,33.08231,-13.96%,13.96%
GigaBoomSEConfig-multiply.riscv,2,45,35.5,7.46,6.16,49.12,42.96,3.69551,38.3684,42.06391,-14.37%,14.37%
GigaBoomSEConfig-ndes.riscv,2,46,33.9,6.81,6.16,46.87,40.71,3.69551,55.3213,59.01681,25.92%,25.92%
GigaBoomSEConfig-petrinet.riscv,2,47,30.1,4.12,6.09,40.31,34.22,3.69551,34.7983,38.49381,-4.51%,4.51%
GigaBoomSEConfig-prime.riscv,2,48,29.6,3.68,6.12,39.4,33.28,3.69551,35.4252,39.12071,-0.71%,0.71%
GigaBoomSEConfig-qsort.riscv,2,49,36,8.39,6.22,50.61,44.39,3.69551,37.9987,41.69421,-17.62%,17.62%
GigaBoomSEConfig-qurt.riscv,2,50,31.4,4.77,6.23,42.4,36.17,3.69551,35.0293,38.72481,-8.67%,8.67%
GigaBoomSEConfig-recursion.riscv,2,51,29.4,3.36,6.07,38.83,32.76,3.69551,33.0928,36.78831,-5.26%,5.26%
GigaBoomSEConfig-rsort.riscv,2,52,40.5,10.9,6.19,57.59,51.4,3.69551,49.0934,52.78891,-8.34%,8.34%
GigaBoomSEConfig-rv64ua-ps-amoadd_d_200,2,53,30.4,4.08,6.12,40.6,34.48,3.69551,22.5733,26.26881,-35.30%,35.30%
GigaBoomSEConfig-rv64ud-ps-fclass_200,2,54,39.2,8.44,6.12,53.76,47.64,3.69551,42.3112,46.00671,-14.42%,14.42%
GigaBoomSEConfig-rv64ud-ps-move_200,2,55,43.9,1.16,6.24,51.3,45.06,3.69551,35.7042,39.39971,-23.20%,23.20%
GigaBoomSEConfig-rv64ud-ps-structural_200,2,56,40.5,8.76,6.13,55.39,49.26,3.69551,43.2149,46.91041,-15.31%,15.31%
GigaBoomSEConfig-rv64ui-ps-and_200,2,57,36.8,8.23,6.12,51.15,45.03,3.69551,31.4855,35.18101,-31.22%,31.22%
GigaBoomSEConfig-rv64ui-ps-auipc_200,2,58,37.4,6.34,6.1,49.84,43.74,3.69551,38.5162,42.21171,-15.31%,15.31%
GigaBoomSEConfig-rv64ui-ps-bne_200,2,59,36.3,7.88,6.1,50.28,44.18,3.69551,42.4444,46.13991,-8.23%,8.23%
GigaBoomSEConfig-rv64ui-ps-fence_i_200,2,60,31.5,3.72,6.12,41.34,35.22,3.69551,30.8344,34.52991,-16.47%,16.47%
GigaBoomSEConfig-rv64ui-ps-jal_200,2,61,35.1,5.05,6.07,46.22,40.15,3.69551,41.4026,45.09811,-2.43%,2.43%
GigaBoomSEConfig-rv64ui-ps-jalr_200,2,62,36.7,7.23,6.09,50.02,43.93,3.69551,37.2778,40.97331,-18.09%,18.09%
GigaBoomSEConfig-rv64ui-ps-lui_200,2,63,35.7,5.83,6.08,47.61,41.53,3.69551,35.8476,39.54311,-16.94%,16.94%
GigaBoomSEConfig-rv64ui-ps-lw_200,2,64,37.2,8.32,6.12,51.64,45.52,3.69551,42.0463,45.74181,-11.42%,11.42%
GigaBoomSEConfig-rv64ui-ps-ori_200,2,65,37.3,8.29,6.13,51.72,45.59,3.69551,32.9201,36.61561,-29.20%,29.20%
GigaBoomSEConfig-rv64ui-ps-slli_200,2,66,37.1,8.13,6.11,51.34,45.23,3.69551,33.6688,37.36431,-27.22%,27.22%
GigaBoomSEConfig-rv64ui-ps-slt_200,2,67,36.9,8.26,6.11,51.27,45.16,3.69551,34.6457,38.34121,-25.22%,25.22%
GigaBoomSEConfig-rv64ui-ps-sra_200,2,68,37.7,9.06,6.15,52.91,46.76,3.69551,33.664,37.35951,-29.39%,29.39%
GigaBoomSEConfig-rv64ui-ps-sw_200,2,69,37.5,9.04,6.15,52.69,46.54,3.69551,42.395,46.09051,-12.53%,12.53%
GigaBoomSEConfig-rv64ui-ps-xori_200,2,70,37.3,8.3,6.13,51.73,45.6,3.69551,33.5056,37.20111,-28.09%,28.09%
GigaBoomSEConfig-rv64um-ps-mulw_200,2,71,36.7,8.01,6.11,50.82,44.71,3.69551,39.4449,43.14041,-15.11%,15.11%
GigaBoomSEConfig-select.riscv,2,72,29.6,3.56,6.08,39.24,33.16,3.69551,33.3607,37.05621,-5.57%,5.57%
GigaBoomSEConfig-spmv.riscv,2,73,32,5.53,6.12,43.65,37.53,3.69551,33.722,37.41751,-14.28%,14.28%
GigaBoomSEConfig-sqrt.riscv,2,74,31.2,4.62,6.23,42.05,35.82,3.69551,35.6594,39.35491,-6.41%,6.41%
GigaBoomSEConfig-st.riscv,2,75,32.6,5.49,6.21,44.3,38.09,3.69551,25.8011,29.49661,-33.42%,33.42%
GigaBoomSEConfig-tarai.riscv,2,76,29.1,3.21,6.07,38.38,32.31,3.69551,27.2087,30.90421,-19.48%,19.48%
GigaBoomSEConfig-towers.riscv,2,77,33.1,6.06,6.14,45.3,39.16,3.69551,37.2037,40.89921,-9.71%,9.71%
GigaBoomSEConfig-vvadd.riscv,2,78,31.2,4.82,6.11,42.13,36.02,3.69551,27.7671,31.46261,-25.32%,25.32%
GigaBoomSEConfig-whetstone.riscv,2,79,30,4.05,6.17,40.22,34.05,3.69551,38.6786,42.37411,5.36%,5.36%
