config-benchmark,GT.Leakage,GT.Dynamic,GT.Total,McPAT-7nm.Leakage,McPAT-7nm.Dynamic,McPAT-7nm.Total,ML.Leakage,ML-Shuffle.Dynamic,ML-Shuffle.Total,ML-Config.Dynamic,ML-Config.Total,ML-Benchmark.Dynamic,ML-Benchmark.Total
GigaBoomConfig-st.riscv,6.83,34.95,41.78,3.89489,27.1374,31.03229,6.767038202477181,34.41178512573242,41.1788233282096,37.854400634765625,44.621438837242806,35.562217712402344,42.329255914879525
GigaBoomConfig-tarai.riscv,6.66,28.8,35.46,3.89489,28.4746,32.36949,6.767038202477181,28.83582878112793,35.60286698360511,32.23029327392578,38.99733147640296,28.175323486328125,34.942361688805306
GigaBoomConfig-towers.riscv,6.74,36.2,42.94,3.89489,38.8749,42.76979,6.767038202477181,36.82887268066406,43.595910883141244,39.017425537109375,45.784463739586556,32.55714797973633,39.32418618221351
GigaBoomConfig-vvadd.riscv,6.71,32.81,39.52,3.89489,29.8095,33.70439,6.767038202477181,32.29161834716797,39.05865654964515,34.62858963012695,41.395627832604134,31.74010467529297,38.50714287777015
GigaBoomConfig-whetstone.riscv,6.78,30.65,37.43,3.89489,41.1844,45.07929,6.767038202477181,32.27510070800781,39.042138910484994,33.96330642700195,40.730344629479134,35.987693786621094,42.754731989098275
GigaBoomProConfig-add_fp.riscv,7.37,32.46,39.83,4.07468,45.6678,49.74248,7.0904743089176865,33.62067413330078,40.711148442218466,34.17713165283203,41.267605961749716,34.40568542480469,41.49615973372237
GigaBoomProConfig-add_fp_large.riscv,7.37,32.47,39.84,4.07468,40.9419,45.01658,7.0904743089176865,33.945762634277344,41.03623694319503,31.160242080688477,38.25071638960616,36.19416427612305,43.28463858504073
GigaBoomProConfig-add_int.riscv,7.52,42.15,49.67,4.07468,50.7323,54.80698,7.0904743089176865,41.7175178527832,48.80799216170089,39.439117431640625,46.52959174055831,40.049747467041016,47.1402217759587
GigaBoomProConfig-add_int_large.riscv,7.52,42.12,49.64,4.07468,45.8867,49.96138,7.0904743089176865,39.493106842041016,46.5835811509587,39.4184684753418,46.50894278425948,36.774818420410156,43.86529272932784
GigaBoomProConfig-adpcm_dec.riscv,7.52,35.19,42.71,4.07468,31.269,35.34368,7.0904743089176865,34.12495803833008,41.21543234724776,32.65883255004883,39.74930685896651,31.575223922729492,38.66569823164718
